Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
5.844,3.82725049137e+19,1.6560133026e+19,1.66294589301e+19,7.48590600332e+15,3.32160532821e+20,3.99415063241e+13,9.24479321519e+23,1.12555041128e+25,5989918842.77,0.0155289845886,6.08989433776e+24,5.54118749556e+14,207.587697753,7979987.0021,3.74822031481e+13,23689442.874,2.05222231029e+14,9.60302099333e+13,8.24877890189e+13,813369187.935,92968.5927649,3.32800435328e+14,2.34802058629e+20,3.55998141072e+14,100941981.411,1.74743296398e+19,8.013257546e+18,3.87761612143e+19,8.71527602213e+14,4.81672840425e+17,2.43596201472e+25,2.36867169749e+12,7.46827900717e+16
6.5745,4.30565565974e+19,1.86301397007e+19,1.8707092343e+19,9.47398654332e+15,3.73680287722e+20,3.99414417757e+13,9.24481686474e+23,1.12555023093e+25,5989917902.23,0.0155289542665,6.0898824462e+24,6.23382984429e+14,262.730610809,11038054.5448,4.74384366031e+13,26650588.8393,2.59734177562e+14,1.2153833851e+14,1.04398522975e+14,915039861.388,117707.932102,4.21200039355e+14,2.64151973362e+20,3.55997582956e+14,113559690.101,1.96586445144e+19,9.01489969818e+18,4.36833530418e+19,8.715260918e+14,4.81672005696e+17,2.43595779305e+25,2.36866759244e+12,8.40183621123e+16
7.305,4.7840605743e+19,2.07001441637e+19,2.07844927448e+19,1.16958312619e+16,4.15199973356e+20,3.99413772275e+13,9.24484051422e+23,1.12555005059e+25,5989916963.95,0.0155289239445,6.08987055466e+24,6.92647084021e+14,324.361211412,14785725.8331,5.85659998107e+13,29611727.1236,3.20659220137e+14,1.5004741487e+14,1.2888696046e+14,1016710271.11,145362.421225,5.19999416974e+14,2.93501811964e+20,3.55997024842e+14,126177356.686,2.18429547601e+19,1.00165385079e+19,4.85905363662e+19,8.7152458139e+14,4.8167117097e+17,2.43595357139e+25,2.36866348739e+12,9.33539179739e+16
8.0355,5.26246523513e+19,2.27701464148e+19,2.28616601622e+19,1.41514132685e+16,4.56719589723e+20,3.99413126795e+13,9.24486416365e+23,1.12554987024e+25,5989916027.93,0.0155288936225,6.08985866315e+24,7.61911048336e+14,392.479509097,19292510.6657,7.08648944927e+13,32572857.7269,3.87997343058e+14,1.81557433193e+14,1.55953095178e+14,1118380417.11,175932.049511,6.29198530289e+14,3.22851574434e+20,3.55996466728e+14,138794981.166,2.40272603767e+19,1.10181739753e+19,5.34977111876e+19,8.71523070983e+14,4.81670336231e+17,2.43594934974e+25,2.36865938235e+12,1.02689457656e+17
8.766,5.74086964227e+19,2.48401464542e+19,2.49385946222e+19,1.68407056756e+16,4.98239136825e+20,3.99412481315e+13,9.24488781301e+23,1.1255496899e+25,5989915094.17,0.0155288633006,6.08984677167e+24,8.3117487738e+14,467.085513401,24627918.8245,8.43351223707e+13,35533980.6493,4.61748530627e+14,2.16068387657e+14,1.85596920832e+14,1220050299.39,209416.806336,7.48797341402e+14,3.52201260772e+20,3.55995908615e+14,151412563.542,2.62115613643e+19,1.20198061002e+19,5.84048775059e+19,8.7152156058e+14,4.8166950148e+17,2.43594512809e+25,2.36865527732e+12,1.1202498116e+17
9.4965,6.21927379579e+19,2.69101442818e+19,2.70152961516e+19,1.9763681599e+16,5.39758614659e+20,3.99411835837e+13,9.24491146231e+23,1.12554950955e+25,5989914162.68,0.0155288329787,6.0898348802e+24,9.00438571155e+14,548.179233858,30861460.0739,9.89766851663e+13,38495095.8906,5.41912767147e+14,2.53580272443e+14,2.17818431127e+14,1321719917.94,245816.681079,8.78795812419e+14,3.8155087098e+20,3.55995350504e+14,164030103.813,2.8395857723e+19,1.30214348827e+19,6.33120353212e+19,8.71520050179e+14,4.81668666717e+17,2.43594090645e+25,2.3686511723e+12,1.21360488484e+17
10.227,6.69767769576e+19,2.89801398977e+19,2.90917647774e+19,2.29203141574e+16,5.81278023228e+20,3.9941119036e+13,9.24493511155e+23,1.12554932921e+25,5989913233.44,0.0155288026569,6.08982298876e+24,9.69702129665e+14,635.760680004,38062644.1617,1.14789584601e+14,41456203.4511,6.28490036921e+14,2.9409308173e+14,2.52617619765e+14,1423389272.76,285131.663117,1.01919390544e+15,4.10900405056e+20,3.55994792393e+14,176647601.981,3.05801494526e+19,1.40230603228e+19,6.82191846335e+19,8.71518539781e+14,4.81667831947e+17,2.43593668482e+25,2.36864706728e+12,1.3069597963e+17
10.9575,7.17608134223e+19,3.10501333019e+19,3.11680005262e+19,2.63105764727e+16,6.2279736253e+20,3.99410544884e+13,9.24495876074e+23,1.12554914886e+25,5989912306.46,0.0155287723352,6.08981109734e+24,1.03896555292e+15,729.829861376,46300980.8181,1.31773822397e+14,44417303.3305,7.21480324252e+14,3.37606809696e+14,2.89994480451e+14,1525058363.86,327361.741826,1.16999158258e+15,4.40249863001e+20,3.55994234283e+14,189265058.044,3.27644365533e+19,1.50246824205e+19,7.31263254428e+19,8.71517029386e+14,4.81666997174e+17,2.4359324632e+25,2.36864296227e+12,1.40031454596e+17
11.688,7.65448473527e+19,3.31201244944e+19,3.32440034251e+19,2.99344416697e+16,6.64316632566e+20,3.99409899409e+13,9.24498240986e+23,1.12554896852e+25,5989911381.74,0.0155287420135,6.08979920594e+24,1.10822884091e+15,830.386787507,55645979.7567,1.49929400275e+14,47378395.5291,8.20883613442e+14,3.84121450521e+14,3.29949006887e+14,1626727191.23,372506.906586,1.33118880593e+15,4.69599244815e+20,3.55993676174e+14,201882472.003,3.49487190251e+19,1.60263011758e+19,7.80334577491e+19,8.71515518993e+14,4.816661624e+17,2.43592824158e+25,2.36863885727e+12,1.49366913383e+17
12.4185,8.13288787493e+19,3.51901134752e+19,3.53197735008e+19,3.37918828767e+16,7.05835833337e+20,3.99409253936e+13,9.24500605892e+23,1.12554878817e+25,5989910459.29,0.0155287116919,6.08978731457e+24,1.17749199365e+15,937.431467934,66167150.6737,1.69256319957e+14,50339480.0467,9.26699888794e+14,4.33636998385e+14,3.72481192778e+14,1728395754.88,420567.146773,1.5027855376e+15,4.98948550499e+20,3.55993118066e+14,214499843.858,3.71329968679e+19,1.70279165888e+19,8.29405815525e+19,8.71514008603e+14,4.81665327628e+17,2.43592401997e+25,2.36863475228e+12,1.58702355992e+17
