MeV,barns
0.000192459,27.687
0.000192477,27.5072
0.000192498,27.1658
0.000192524,26.6128
0.000192552,25.8109
0.000192581,24.8712
0.000192625,23.3042
0.000192704,20.367
0.000192749,18.8467
0.000192777,17.9704
0.000192805,17.2168
0.000192842,16.3068
0.000192873,15.6658
0.000192904,15.1107
0.000192931,14.6936
0.000192964,14.2495
0.000193005,13.7758
0.000193051,13.3451
0.000193091,13.0306
0.000193141,12.6911
0.000193191,12.3994
0.000193277,11.9771
0.000193402,11.4592
0.000193556,10.9193
0.00019368,10.5517
0.000193765,10.3667
0.00019382,10.2949
0.000193867,10.2754
0.0001939,10.2897
0.000193957,10.3743
0.000194013,10.5404
0.000194077,10.8223
0.00019416,11.2978
0.000194268,11.9594
0.000194319,12.212
0.000194369,12.3981
0.000194412,12.4942
0.000194464,12.5325
0.000194503,12.5098
0.000194564,12.4018
0.000194742,11.9096
0.000194818,11.7585
0.000194908,11.6735
0.000195099,11.6063
0.000195183,11.5159
0.000195298,11.3051
0.000195564,10.737
0.000195791,10.3414
0.000195949,10.1282
0.000196091,10.0104
0.000196269,9.95728
0.000196454,9.91007
0.000196567,9.81429
0.000196655,9.68187
0.000196852,9.30073
0.000196925,9.21522
0.000196969,9.20168
0.000197034,9.2393
0.000197121,9.37557
0.000197246,9.603
0.000197319,9.6725
0.000197366,9.68366
0.000197496,9.62968
0.000197748,9.49295
0.000197851,9.38865
0.000197991,9.21692
0.000198063,9.16168
0.00019811,9.15268
0.000198178,9.18504
0.000198241,9.26718
0.0001983,9.38987
0.000198383,9.62793
0.000198466,9.92807
0.000198674,10.7722
0.000198757,11.0565
0.000198833,11.2464
0.000198892,11.3333
0.00019895,11.3646
0.000199019,11.3314
0.000199064,11.2697
0.000199147,11.0873
0.00019923,10.833
0.000199343,10.4134
0.000199606,9.29769
0.000199664,9.09529
0.000199706,8.99213
0.000199744,8.95677
0.000199777,8.98761
0.000199802,9.06346
0.000199827,9.19547
0.000199853,9.39413
0.000199872,9.59329
0.000199891,9.84033
0.00019991,10.1394
0.000199929,10.494
0.000199948,10.9073
0.000199967,11.3812
0.000199988,11.9932
0.000200006,12.5566
0.000200033,13.4992
0.000200051,14.1884
0.000200076,15.2479
0.000200109,16.7305
0.000200196,20.8238
0.000200226,22.1448
0.000200252,23.214
0.000200273,23.9445
0.000200296,24.6563
0.000200322,25.3266
0.000200348,25.7833
0.000200372,26.0596
0.000200396,26.1732
0.000200401,26.1768
0.000200422,26.121
0.000200452,25.858
0.000200484,25.3718
0.000200516,24.7131
0.000200558,23.6446
0.000200679,20.2328
0.000200727,18.9763
0.000200769,18.0068
0.000200812,17.16
0.000200854,16.4307
0.000200896,15.8059
0.000200939,15.2698
0.000200981,14.8063
0.000201044,14.2157
0.000201108,13.7158
0.000201171,13.2771
0.000201298,12.5092
0.000201412,11.9065
0.000201471,11.6451
0.000201525,11.4652
0.000201572,11.3715
0.000201596,11.3549
0.000201631,11.3734
0.000201666,11.4486
0.000201703,11.5882
0.000201741,11.8032
0.00020179,12.1681
0.000201934,13.4481
0.000201984,13.8012
0.000202023,13.9959
0.000202063,14.1023
0.00020209,14.1227
0.000202122,14.0955
0.000202161,13.9915
0.000202221,13.7226
0.00020228,13.3717
0.000202417,12.5263
0.000202488,12.1428
0.00020256,11.813
0.000202669,11.3954
0.000202757,11.1177
0.000202858,10.8695
0.000202967,10.6866
0.000203321,10.322
0.000203374,10.2999
0.000203426,10.3202
0.000203479,10.3996
0.000203531,10.5489
0.000203581,10.7574
0.000203631,11.0229
0.000203802,12.0982
0.000203852,12.3698
0.000203904,12.6001
0.00020397,12.7968
0.000204035,12.8902
0.00020407,12.9031
0.000204141,12.8588
0.000204229,12.6984
0.000204334,12.4018
0.000204536,11.751
0.000204657,11.4311
0.000204778,11.2009
0.000205037,10.829
0.00020519,10.525
0.000205316,10.2593
0.000205382,10.1672
0.000205426,10.1408
0.000205491,10.1692
0.000205554,10.2775
0.000205627,10.4853
0.000205754,10.9003
0.000205816,11.0357
0.00020587,11.0853
0.000205877,11.0864
0.000205934,11.0526
0.000206002,10.9249
0.000206082,10.6847
0.000206398,9.53364
0.000206503,9.19107
0.000206563,9.04532
0.000206604,8.98514
0.000206636,8.96943
0.000206678,9.00074
0.000206709,9.07051
0.000206741,9.18501
0.000206772,9.34727
0.000206804,9.55828
0.000206835,9.81664
0.000206877,10.2273
0.000206919,10.6972
0.000207035,12.0757
0.000207081,12.5574
0.000207125,12.9302
0.000207161,13.1547
0.000207202,13.3246
0.000207245,13.3982
0.000207253,13.4009
0.000207296,13.3634
0.000207353,13.2031
0.000207428,12.8653
0.000207596,12.0103
0.00020769,11.6094
0.000207784,11.2826
0.000207878,11.0135
0.000208046,10.6238
0.000208405,9.88537
0.000208602,9.40315
0.000208803,8.89633
0.000208908,8.68109
0.000208974,8.59608
0.000209,8.58538
0.000209038,8.60869
0.00020907,8.67989
0.000209091,8.76313
0.00020911,8.86532
0.000209132,9.0334
0.000209155,9.25836
0.000209174,9.49305
0.000209192,9.7781
0.000209211,10.1187
0.00020923,10.5195
0.000209246,10.9155
0.000209262,11.3614
0.000209283,12.0359
0.000209305,12.8034
0.000209324,13.5627
0.000209349,14.6648
0.000209373,15.8762
0.000209407,17.6656
0.000209494,22.5504
0.000209529,24.3705
0.000209555,25.5659
0.000209578,26.5216
0.000209602,27.3127
0.000209627,27.9459
0.000209651,28.3509
0.000209671,28.5208
0.000209682,28.5468
0.000209702,28.4828
0.000209728,28.1937
0.000209752,27.7142
0.000209772,27.2061
0.000209794,26.4942
0.000209822,25.5037
0.000209853,24.2147
0.000209948,20.124
0.000209978,18.8966
0.000210008,17.7592
0.000210038,16.7275
0.000210064,15.9228
0.000210097,15.0218
0.000210131,14.2521
0.000210154,13.7765
0.00021018,13.3309
0.000210215,12.8015
0.000210251,12.3668
0.000210289,11.9882
0.000210327,11.6842
0.000210365,11.4425
0.000210416,11.2011
0.000210466,11.0374
0.000210517,10.938
0.000210591,10.8798
0.000210629,10.8758
0.000210715,10.8849
0.000210786,10.8661
0.000210873,10.7697
0.000211018,10.5274
0.000211058,10.5014
0.000211098,10.5229
0.000211133,10.5894
0.000211167,10.7073
0.000211201,10.8797
0.000211235,11.1057
0.000211279,11.4662
0.000211364,12.291
0.000211427,12.8826
0.000211472,13.2224
0.00021151,13.4305
0.000211548,13.553
0.000211586,13.5867
0.00021163,13.5208
0.000211673,13.3663
0.000211734,13.0374
0.000211872,12.1643
0.000211933,11.8372
0.000212008,11.5186
0.000212095,11.2449
0.000212285,10.798
0.000212435,10.4988
0.00021258,10.2995
0.000212727,10.1091
0.000212819,9.92654
0.000212926,9.63015
0.000213051,9.25586
0.000213097,9.15982
0.000213144,9.11469
0.000213179,9.13211
0.000213216,9.21167
0.00021325,9.3522
0.000213278,9.51428
0.000213305,9.72476
0.000213332,9.98521
0.00021335,10.1866
0.000213386,10.6536
0.000213426,11.2563
0.000213462,11.8682
0.000213578,13.9617
0.000213619,14.6323
0.000213652,15.1056
0.000213685,15.4997
0.000213719,15.807
0.000213752,16.0164
0.00021379,16.1466
0.000213815,16.1701
0.000213856,16.1143
0.000213898,15.9566
0.00021395,15.6538
0.000214037,15.0072
0.000214159,14.0703
0.000214239,13.5305
0.000214325,13.054
0.000214397,12.729
0.000214469,12.4588
0.000214585,12.1088
0.000214723,11.7952
0.000214897,11.5013
0.000215099,11.2552
0.000215308,11.0893
0.000215605,10.9282
0.000215754,10.7723
0.000215958,10.4497
0.000216215,10.0241
0.000216477,9.679
0.00021667,9.46319
0.000216755,9.42046
0.000216822,9.45188
0.000216867,9.51934
0.000216912,9.6307
0.000216966,9.82423
0.000217033,10.1466
0.000217172,10.9179
0.000217235,11.2026
0.000217294,11.3838
0.000217338,11.4517
0.000217369,11.4672
0.000217423,11.4338
0.000217498,11.2916
0.0002177,10.7392
0.000217793,10.5392
0.000217885,10.3937
0.000218091,10.18
0.000218294,9.95674
0.000218588,9.56775
0.000218934,9.18758
0.000219195,8.90167
0.000219351,8.67964
0.000219487,8.42696
0.000219595,8.17355
0.00021972,7.81875
0.000219855,7.41877
0.000219909,7.29253
0.000219956,7.22029
0.000219999,7.1961
0.000220042,7.22193
0.000220079,7.28638
0.000220115,7.39185
0.000220155,7.55915
0.000220205,7.82819
0.000220259,8.18951
0.000220322,8.67246
0.000220422,9.52799
0.000220612,11.2028
0.00022067,11.6676
0.000220717,11.9995
0.000220763,12.2588
0.000220798,12.4136
0.000220848,12.5493
0.00022089,12.5898
0.000220941,12.5484
0.000220993,12.4194
0.000221045,12.2239
0.000221237,11.3142
0.000221303,11.0658
0.000221365,10.9019
0.000221419,10.8234
0.000221452,10.8069
0.000221503,10.8286
0.000221569,10.9366
0.000221646,11.1608
0.000221833,11.8411
0.000221904,12.0254
0.000221962,12.1032
0.00022199,12.1152
0.000222045,12.0871
0.000222097,12.0002
0.000222149,11.8591
0.000222229,11.5625
0.000222303,11.2227
0.000222444,10.4801
0.000222578,9.74984
0.000222645,9.42356
0.000222691,9.242
0.000222736,9.10999
0.000222778,9.04794
0.00022279,9.04304
0.000222825,9.06573
0.00022286,9.14985
0.000222892,9.28456
0.00022293,9.51286
0.00022297,9.83826
0.000223011,10.2349
0.000223072,10.932
0.000223144,11.7462
0.000223185,12.1616
0.000223226,12.4851
0.000223266,12.7123
0.000223306,12.8344
0.000223333,12.8578
0.000223373,12.813
0.000223412,12.693
0.000223467,12.4285
0.000223736,10.7916
0.000223838,10.1559
0.000223994,9.07721
0.000224035,8.83373
0.000224071,8.66318
0.000224098,8.57804
0.000224125,8.54121
0.000224152,8.56397
0.000224171,8.61798
0.000224193,8.7314
0.000224212,8.87968
0.000224232,9.07695
0.000224251,9.32653
0.000224271,9.63112
0.000224292,10.0344
0.000224309,10.4053
0.000224326,10.8211
0.000224352,11.5268
0.000224377,12.3147
0.000224403,13.1842
0.000224437,14.4655
0.000224493,16.7236
0.000224549,18.9433
0.000224579,20.0497
0.000224608,21.0365
0.000224639,21.9279
0.00022467,22.6446
0.0002247,23.1445
0.000224727,23.4613
0.000224758,23.6587
0.000224781,23.6995
0.000224803,23.6645
0.000224846,23.4346
0.000224918,22.7956
0.000224989,22.1325
0.000225061,21.6114
0.000225183,20.8838
0.000225241,20.3944
0.000225287,19.8798
0.000225336,19.2119
0.000225401,18.1488
0.000225519,16.0624
0.000225584,14.9999
0.000225628,14.3637
0.000225671,13.7923
0.000225725,13.1758
0.000225773,12.7097
0.000225821,12.3277
0.000225858,12.1004
0.000225894,11.9358
0.000225931,11.845
0.000225949,11.8313
0.000225981,11.8642
0.000226002,11.9285
0.000226028,12.0644
0.000226055,12.2638
0.000226082,12.5374
0.00022611,12.8807
0.000226128,13.1471
0.000226164,13.7634
0.000226201,14.4731
0.00022632,17.0148
0.000226361,17.7916
0.000226398,18.367
0.000226429,18.7337
0.000226458,18.9711
0.000226485,19.0912
0.000226509,19.1225
0.000226544,19.0474
0.000226585,18.8071
0.000226619,18.4945
0.000226684,17.7629
0.000226781,16.585
0.000226828,16.0839
0.000226872,15.6683
0.000226942,15.1307
0.000227012,14.7117
0.000227105,14.2745
0.000227233,13.7974
0.000227404,13.2735
0.00022773,12.4076
0.000228047,11.5971
0.000228402,10.6195
0.000228475,10.4604
0.000228565,10.3289
0.000228648,10.2861
0.000228659,10.2859
0.000228755,10.3288
0.000228875,10.4651
0.000228964,10.6275
0.000229046,10.8501
0.000229132,11.172
0.000229263,11.7225
0.000229315,11.8976
0.000229378,12.0327
0.000229429,12.063
0.000229488,12.0094
0.000229535,11.9017
0.000229599,11.6871
0.000229705,11.2179
0.000230046,9.56881
0.000230201,8.85702
0.000230263,8.61959
0.000230301,8.51124
0.00023034,8.45466
0.00023035,8.45127
0.000230379,8.47365
0.000230408,8.55489
0.000230433,8.68585
0.000230449,8.79977
0.000230471,9.00454
0.000230493,9.26951
0.000230515,9.60076
0.000230537,10.0037
0.000230559,10.4828
0.000230578,10.9816
0.0002306,11.6124
0.000230625,12.3986
0.000230649,13.278
0.000230671,14.152
0.000230704,15.5767
0.000230747,17.6242
0.000230808,20.5164
0.000230843,22.0787
0.000230869,23.1007
0.000230898,24.1099
0.000230926,24.9051
0.000230951,25.4219
0.000230976,25.773
0.000231002,25.9569
0.000231013,25.9754
0.000231037,25.9005
0.000231064,25.6494
0.00023109,25.2428
0.000231123,24.5558
0.000231158,23.683
0.000231249,21.2195
0.000231289,20.275
0.000231319,19.6788
0.000231348,19.1936
0.000231376,18.8442
0.000231403,18.5982
0.000231432,18.4239
0.000231467,18.3163
0.000231501,18.2907
0.000231615,18.3688
0.000231674,18.2849
0.000231726,18.0743
0.000231776,17.745
0.000231832,17.2611
0.000232029,15.3038
0.000232104,14.6221
0.000232202,13.8176
0.000232353,12.6803
0.000232428,12.1776
0.000232485,11.8735
0.000232522,11.7271
0.00023256,11.6416
0.000232579,11.626
0.000232617,11.6569
0.000232645,11.7401
0.000232673,11.8782
0.000232705,12.1004
0.000232737,12.3923
0.000232769,12.749
0.000232816,13.368
0.000232946,15.3311
0.000232983,15.8302
0.000233027,16.3089
0.000233059,16.568
0.000233091,16.7434
0.000233131,16.8409
0.000233138,16.8443
0.00023317,16.807
0.000233202,16.6939
0.00023325,16.4046
0.000233298,16.0088
0.000233444,14.5924
0.000233493,14.1766
0.000233542,13.843
0.000233587,13.6286
0.000233632,13.5101
0.000233654,13.4888
0.000233699,13.5228
0.000233744,13.6554
0.000233796,13.922
0.000233859,14.3542
0.000233979,15.267
0.000234039,15.6309
0.000234083,15.815
0.000234131,15.9219
0.000234155,15.9388
0.000234203,15.9043
0.000234266,15.7433
0.000234351,15.3757
0.000234589,14.1588
0.000234715,13.6128
0.000234825,13.2249
0.000234924,12.9545
0.000235027,12.7642
0.00023513,12.6662
0.000235418,12.5812
0.000235542,12.4634
0.000235717,12.1883
0.000236298,11.1266
0.000236386,11.0264
0.000236434,11.0104
0.000236492,11.0418
0.000236561,11.1622
0.00023663,11.368
0.0002368,12.0103
0.000236868,12.1874
0.000236925,12.2581
0.000236948,12.2651
0.000236985,12.2505
0.000237055,12.1474
0.000237155,11.8859
0.000237354,11.286
0.000237506,10.909
0.000237642,10.6423
0.000237746,10.4903
0.000237846,10.4086
0.000237915,10.3932
0.000238037,10.4395
0.000238253,10.604
0.000238372,10.6432
0.0002384,10.6435
0.000238539,10.6025
0.000238868,10.4201
0.000239044,10.3949
0.000239336,10.4763
0.000239672,10.5688
0.000239748,10.5767
0.000239922,10.5527
0.000240087,10.4489
0.000240208,10.3092
0.000240329,10.1096
0.000240494,9.7519
0.0002406,9.52415
0.000240664,9.43581
0.000240706,9.41997
0.000240749,9.4553
0.000240792,9.56201
0.000240822,9.68103
0.000240851,9.84352
0.000240884,10.0893
0.000240903,10.2573
0.000240942,10.6566
0.00024098,11.1365
0.000241023,11.7751
0.000241075,12.6092
0.000241166,14.123
0.000241214,14.8445
0.000241249,15.2876
0.000241281,15.628
0.00024131,15.8636
0.000241346,16.0605
0.00024138,16.1595
0.000241404,16.1761
0.000241445,16.1159
0.000241481,15.9818
0.000241535,15.6755
0.000241731,14.2623
0.000241804,13.8235
0.000241876,13.4674
0.000241949,13.184
0.000242057,12.8601
0.000242176,12.5987
0.000242318,12.3706
0.000242469,12.2101
0.000242614,12.1313
0.000242724,12.1171
0.000243081,12.1754
0.00024323,12.1403
0.000243373,12.0262
0.000243568,11.7588
0.000243808,11.4017
0.000244019,11.1719
0.000244358,10.9244
0.000244544,10.7633
0.000244646,10.6252
0.000244803,10.3283
0.000244949,10.0153
0.000245037,9.87467
0.0002451,9.82856
0.000245127,9.82773
0.000245182,9.86653
0.000245237,9.96212
0.000245291,10.1118
0.000245373,10.4128
0.000245485,10.8642
0.000245563,11.1142
0.000245626,11.2392
0.000245689,11.2848
0.000245696,11.2851
0.000245765,11.2431
0.000245859,11.0965
0.000245977,10.8867
0.000246039,10.8162
0.000246101,10.7938
0.000246182,10.8431
0.000246282,11.0002
0.000246412,11.2409
0.000246493,11.3278
0.000246532,11.3398
0.000246586,11.3203
0.000246649,11.2473
0.000246742,11.0515
0.000246835,10.7826
0.000247009,10.181
0.000247153,9.6647
0.000247229,9.44328
0.000247282,9.35813
0.000247299,9.34855
0.000247334,9.36687
0.000247368,9.44659
0.000247394,9.55517
0.00024742,9.71205
0.000247446,9.9225
0.000247473,10.1909
0.000247499,10.5203
0.000247525,10.912
0.000247556,11.4597
0.000247582,11.9856
0.000247616,12.7401
0.000247667,13.9978
0.00024774,15.844
0.000247784,16.8486
0.000247817,17.5009
0.000247849,18.0241
0.00024788,18.388
0.000247904,18.5798
0.000247928,18.6839
0.000247941,18.703
0.000247973,18.6509
0.000247999,18.5034
0.000248035,18.1597
0.000248072,17.682
0.000248123,16.8549
0.000248234,14.824
0.000248281,14.04
0.000248324,13.3736
0.000248365,12.8284
0.000248404,12.3936
0.000248438,12.0661
0.000248483,11.7219
0.000248528,11.4795
0.000248558,11.3754
0.000248589,11.3187
0.000248604,11.3085
0.000248634,11.3257
0.000248672,11.4216
0.0002487,11.5437
0.000248742,11.8113
0.000248786,12.1867
0.000248815,12.4799
0.000248872,13.1424
0.000248978,14.4575
0.00024903,15.0061
0.000249076,15.386
0.000249112,15.5879
0.000249147,15.709
0.000249185,15.7492
0.000249232,15.6783
0.000249265,15.5589
0.000249316,15.2939
0.000249366,14.9612
0.000249502,13.9876
0.000249573,13.5455
0.000249653,13.1295
0.000249737,12.7896
0.000249842,12.4557
0.000249992,12.0799
0.000250239,11.5673
0.000250577,10.9833
0.00025102,10.2523
0.000251134,10.1157
0.000251222,10.0682
0.00025131,10.0906
0.00025139,10.1756
0.000251513,10.3964
0.000251649,10.6515
0.000251735,10.7468
0.000251789,10.7652
0.000251847,10.7477
0.000251924,10.6683
0.000252,10.5363
0.000252139,10.2151
0.000252355,9.67118
0.000252423,9.53542
0.000252492,9.44509
0.000252561,9.41954
0.000252612,9.45323
0.000252664,9.53718
0.000252722,9.69298
0.000252796,9.96936
0.000252959,10.7054
0.000253031,10.9786
0.000253103,11.1805
0.000253187,11.3207
0.000253378,11.5076
0.000253448,11.6363
0.000253508,11.7947
0.000253582,12.0535
0.00025378,12.8552
0.000253865,13.1082
0.000253935,13.2333
0.000254,13.2732
0.000254065,13.2442
0.000254132,13.1562
0.00025426,12.8717
0.000254661,11.7514
0.000255114,10.5719
0.00025536,9.89211
0.000255442,9.7154
0.00025551,9.63441
0.000255538,9.6251
0.000255587,9.65203
0.000255635,9.73856
0.000255675,9.85992
0.000255713,10.0221
0.000255754,10.2423
0.000255812,10.6349
0.000255882,11.2
0.000256021,12.4133
0.000256072,12.7962
0.000256124,13.1247
0.000256171,13.3443
0.000256214,13.4825
0.000256269,13.5636
0.000256288,13.5684
0.000256343,13.5224
0.000256415,13.3527
0.00025651,13.0077
0.00025671,12.2015
0.000256818,11.8405
0.000256952,11.4782
0.000257066,11.2359
0.000257198,11.0259
0.000257336,10.8941
0.000257641,10.7385
0.00025777,10.6045
0.000257977,10.2797
0.000258141,10.025
0.00025827,9.89261
0.000258414,9.83322
0.000258594,9.78999
0.000258704,9.70343
0.000258818,9.53935
0.000258964,9.2472
0.000259249,8.56292
0.000259412,8.1844
0.000259488,8.04745
0.000259545,7.97874
0.000259603,7.95183
0.000259661,7.97427
0.000259718,8.04849
0.000259783,8.18768
0.000259963,8.69379
0.000260024,8.81525
0.000260076,8.86889
0.000260105,8.87497
0.000260134,8.86313
0.000260191,8.78596
0.000260249,8.64317
0.000260307,8.44807
0.000260471,7.79224
0.000260522,7.62543
0.000260572,7.50724
0.00026061,7.46049
0.000260636,7.45255
0.000260674,7.47879
0.000260712,7.55327
0.00026075,7.67696
0.00026079,7.86195
0.000260823,8.05047
0.000260866,8.34478
0.000260905,8.65696
0.000260953,9.0868
0.000260998,9.55988
0.000261033,9.98417
0.000261064,10.3966
0.000261097,10.909
0.000261122,11.3614
0.000261147,11.8751
0.000261173,12.4609
0.000261198,13.1296
0.000261223,13.8915
0.000261249,14.756
0.000261274,15.7306
0.000261299,16.8203
0.000261325,18.027
0.000261349,19.2797
0.000261375,20.7671
0.000261408,22.7515
0.000261443,25.0362
0.000261531,30.9386
0.000261567,33.1539
0.000261598,34.962
0.000261627,36.3688
0.000261653,37.4803
0.000261681,38.4146
0.000261704,38.967
0.000261733,39.3806
0.000261759,39.4979
0.00026178,39.4105
0.000261804,39.1259
0.000261832,38.5429
0.000261865,37.5678
0.000261893,36.5278
0.000261927,35.0348
0.000261975,32.7178
0.000262066,28.1693
0.000262105,26.3155
0.000262148,24.4923
0.000262178,23.3621
0.000262205,22.4423
0.000262231,21.6155
0.000262266,20.6686
0.000262301,19.866
0.000262333,19.2545
0.000262368,18.6825
0.000262413,18.079
0.000262458,17.6017
0.000262518,17.0982
0.000262609,16.4893
0.000262889,14.8768
0.000263037,14.11
0.000263147,13.6209
0.000263267,13.1884
0.000263379,12.8764
0.000263508,12.6145
0.000263777,12.1791
0.000263912,11.8943
0.000264218,11.0857
0.000264291,10.9346
0.000264356,10.8526
0.000264405,10.8338
0.000264467,10.872
0.00026452,10.9584
0.00026461,11.1914
0.000264733,11.5418
0.0002648,11.6619
0.000264845,11.6928
0.000264895,11.6743
0.000264963,11.5661
0.000265046,11.3342
0.000265273,10.5211
0.000265366,10.2312
0.00026546,9.99222
0.000265553,9.80713
0.000265646,9.67842
0.000265739,9.61009
0.000265786,9.60053
0.000265864,9.62604
0.000265935,9.70407
0.000266,9.83299
0.00026605,9.97659
0.000266106,10.193
0.000266169,10.5103
0.000266222,10.8421
0.000266292,11.3553
0.000266455,12.6731
0.000266508,13.0372
0.00026656,13.3207
0.000266602,13.4896
0.000266648,13.6013
0.000266694,13.6371
0.00026674,13.6008
0.000266795,13.4742
0.00026685,13.2762
0.000266961,12.7564
0.000267109,12.0244
0.000267211,11.6065
0.000267313,11.2774
0.000267416,11.0266
0.000267539,10.8189
0.000267644,10.7038
0.000267763,10.6328
0.000267817,10.624
0.000267899,10.6471
0.000267973,10.7143
0.000268064,10.8596
0.000268263,11.2724
0.000268347,11.3804
0.000268403,11.4031
0.000268484,11.3591
0.000268572,11.221
0.000268668,10.9947
0.0002689,10.3763
0.000268997,10.163
0.000269094,10.0038
0.00026919,9.90473
0.000269311,9.85189
0.000269393,9.84449
0.000269541,9.87662
0.000269625,9.95503
0.000269697,10.0945
0.000269744,10.2355
0.000269802,10.4741
0.000269837,10.6502
0.000269909,11.0804
0.000270059,12.084
0.000270126,12.4565
0.000270172,12.6471
0.000270218,12.7757
0.000270272,12.844
0.00027029,12.8474
0.000270343,12.8062
0.000270412,12.6671
0.000270557,12.2705
0.00027061,12.1682
0.000270682,12.1124
0.000270737,12.1434
0.000270811,12.2757
0.000270975,12.7098
0.000271046,12.8216
0.000271076,12.8365
0.000271135,12.8011
0.000271189,12.6907
0.000271251,12.4763
0.000271323,12.1456
0.000271444,11.4609
0.000271691,10.0079
0.000271816,9.31547
0.000271879,9.00711
0.000271921,8.83378
0.000271963,8.70297
0.000271994,8.64455
0.00027202,8.63004
0.000272046,8.65386
0.000272067,8.70557
0.00027209,8.79838
0.000272112,8.93504
0.000272135,9.12095
0.000272157,9.3615
0.000272175,9.60237
0.000272194,9.88586
0.000272212,10.2143
0.000272231,10.5898
0.00027225,11.0446
0.00027227,11.5562
0.000272289,12.1253
0.000272309,12.7514
0.000272328,13.4335
0.000272348,14.1692
0.000272376,15.2828
0.000272403,16.4822
0.000272442,18.3102
0.000272536,22.8724
0.000272579,24.8188
0.000272609,26.0145
0.000272639,27.0848
0.000272665,27.9024
0.000272689,28.4892
0.000272718,29.0456
0.000272748,29.3989
0.000272777,29.5493
0.000272787,29.5554
0.000272807,29.5041
0.000272836,29.2724
0.000272869,28.8279
0.000272902,28.2148
0.000272949,27.0996
0.000273019,25.1711
0.000273084,23.3381
0.000273141,21.8679
0.00027319,20.7735
0.000273238,19.8466
0.000273281,19.1633
0.000273323,18.6227
0.000273373,18.094
0.000273434,17.6001
0.000273517,17.0921
0.000274001,14.6783
0.000274135,14.0865
0.000274289,13.4898
0.00027442,13.0414
0.000274567,12.6141
0.000274671,12.3904
0.000274764,12.2712
0.000274858,12.2305
0.000274877,12.2301
0.000275069,12.2717
0.000275179,12.2286
0.000275272,12.1091
0.000275387,11.8641
0.000275501,11.549
0.000275755,10.7462
0.000275983,9.94785
0.000276092,9.56685
0.000276161,9.3825
0.000276208,9.31641
0.000276223,9.31002
0.000276255,9.32729
0.000276288,9.39845
0.000276314,9.50145
0.00027634,9.65252
0.000276369,9.88033
0.000276392,10.1212
0.000276414,10.3946
0.000276436,10.7167
0.000276459,11.0891
0.000276486,11.6347
0.000276516,12.2975
0.000276545,13.0276
0.000276579,13.9929
0.000276619,15.2405
0.000276735,19.1149
0.000276774,20.3399
0.000276812,21.3971
0.000276845,22.1499
0.000276877,22.775
0.000276904,23.1606
0.000276931,23.4327
0.000276957,23.5904
0.000276975,23.6329
0.000277011,23.5744
0.000277046,23.3402
0.000277082,22.9548
0.000277117,22.4468
0.000277153,21.8469
0.000277245,20.0863
0.000277316,18.7017
0.000277366,17.8099
0.000277416,17.0083
0.000277461,16.3795
0.000277505,15.8311
0.00027755,15.3606
0.000277594,14.9641
0.000277648,14.5767
0.000277701,14.2799
0.000277769,14.0183
0.000277847,13.8338
0.000278062,13.5664
0.000278151,13.39
0.000278253,13.0965
0.000278467,12.3584
0.000278551,12.1318
0.000278632,11.9873
0.000278732,11.9062
0.000278805,11.8942
0.000278913,11.8997
0.000279061,11.8586
0.000279298,11.7033
0.000279321,11.6993
0.000279395,11.7216
0.000279452,11.7854
0.00027951,11.8976
0.000279567,12.0621
0.000279643,12.3562
0.000279725,12.7648
0.000279937,13.9529
0.00028002,14.3402
0.000280088,14.5883
0.000280171,14.7939
0.000280236,14.8824
0.000280313,14.9158
0.000280422,14.8586
0.000280569,14.6544
0.000281035,13.8188
0.00028126,13.3837
0.000281359,13.2682
0.000281438,13.2426
0.000281548,13.3071
0.000281761,13.5502
0.000281859,13.5924
0.000281953,13.5584
0.000282074,13.4308
0.000282474,12.8674
0.000282803,12.5151
0.000283265,12.129
0.000283731,11.809
0.000284231,11.6009
0.000284451,11.433
0.000284894,11.0314
0.000285088,10.9118
0.000285199,10.8898
0.000285339,10.9358
0.000285565,11.1401
0.000285724,11.2687
0.000285902,11.3271
0.000285935,11.3289
0.000286145,11.2887
0.000286306,11.1867
0.000286472,10.9997
0.000286645,10.7252
0.000286907,10.2432
0.000286995,10.122
0.000287083,10.0701
0.000287141,10.0912
0.0002872,10.1659
0.000287259,10.2961
0.00028732,10.4875
0.000287431,10.9262
0.00028754,11.3538
0.000287616,11.5823
0.000287675,11.6945
0.000287748,11.7491
0.000287755,11.7494
0.000287821,11.7146
0.000287914,11.571
0.000288029,11.3015
0.000288335,10.4347
0.000288537,9.80289
0.000288669,9.3798
0.000288748,9.17769
0.0002888,9.09692
0.000288844,9.07551
0.00028887,9.08856
0.000288913,9.15966
0.000288947,9.26077
0.000288987,9.43769
0.000289026,9.67728
0.000289066,9.97723
0.0002891,10.2812
0.000289151,10.7841
0.000289286,12.2593
0.000289337,12.7557
0.000289389,13.1834
0.000289429,13.4425
0.000289474,13.6526
0.000289519,13.7827
0.000289575,13.8463
0.000289582,13.8474
0.000289635,13.8202
0.00028983,13.5371
0.000289889,13.5115
0.00028996,13.5611
0.000290032,13.7101
0.000290117,13.9951
0.000290309,14.8013
0.000290386,15.0246
0.000290455,15.1081
0.000290469,15.1101
0.000290538,15.0472
0.000290613,14.8586
0.000290668,14.6599
0.00029089,13.7324
0.000291009,13.3335
0.000291137,13.0134
0.000291321,12.6809
0.000291567,12.3182
0.000291721,12.1445
0.00029183,12.0766
0.000291887,12.065
