Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
5.844,3.82724951986e+19,1.65601243682e+19,1.66285270373e+19,8.42100128975e+15,3.32160259553e+20,3.99415063354e+13,9.24479321747e+23,1.12555041159e+25,5989918853.44,0.0155289845931,6.08989433951e+24,5.54118214769e+14,233.538510241,10645768.1612,4.21675334073e+13,23689412.4208,2.30874710272e+14,1.08034043523e+14,9.27986413319e+13,813368142.33,104629.239766,3.74399700448e+14,2.34801756787e+20,3.55998141169e+14,100941814.147,1.74743113237e+19,8.01324426792e+18,3.87761276924e+19,8.7152760243e+14,4.81672799157e+17,2.43596201541e+25,2.36867169813e+12,7.46827262096e+16
6.5745,4.30565456707e+19,1.86301299608e+19,1.87060440842e+19,1.05258480658e+16,3.73679980296e+20,3.99414417871e+13,9.24481686699e+23,1.12555023124e+25,5989917914.03,0.015528954271,6.08988244796e+24,6.2338238281e+14,291.925327147,14349863.8759,5.27094425853e+13,26650554.5796,2.88593155338e+14,1.35042629441e+14,1.15998207218e+14,915038685.085,130826.116388,4.67999057107e+14,2.64151633791e+20,3.55997583054e+14,113559501.929,1.96586239088e+19,9.01488476037e+18,4.36833152886e+19,8.71526092022e+14,4.81672000366e+17,2.43595779375e+25,2.36866759308e+12,8.40182902676e+16
7.305,4.78405936053e+19,2.07001333416e+19,2.07833281467e+19,1.28644322188e+16,4.15199631773e+20,3.9941377239e+13,9.24484051644e+23,1.1255500509e+25,5989916976.88,0.015528923949,6.08987055644e+24,6.92646415576e+14,356.79984322,18813076.8493,6.44226836138e+13,29611689.0574,3.52724682809e+14,1.65052158285e+14,1.41775471164e+14,1016708964.11,159938.133109,5.719981528e+14,2.93501434663e+20,3.55997024941e+14,126177147.606,2.1842931865e+19,1.00165219104e+19,4.8590494413e+19,8.71524581616e+14,4.81671170308e+17,2.43595357209e+25,2.36866348804e+12,9.33538381465e+16
8.0355,5.26246390032e+19,2.27701345107e+19,2.28603792516e+19,1.54367268627e+16,4.56719213983e+20,3.9941312691e+13,9.24486416583e+23,1.12554987055e+25,5989916041.99,0.015528893627,6.08985866494e+24,7.61910313069e+14,428.162067995,24104917.2323,7.73072582146e+13,32572815.8541,4.23269276987e+14,1.98062624235e+14,1.70130426874e+14,1118378979.41,191965.279306,6.8639694963e+14,3.22851159404e+20,3.55996466828e+14,138794751.179,2.40272351921e+19,1.1018155718e+19,5.34976650385e+19,8.71523071213e+14,4.81670336159e+17,2.43594935044e+25,2.36865938301e+12,1.02689369846e+17
8.766,5.74086818649e+19,2.4840133468e+19,2.49371974259e+19,1.82427051147e+16,4.98238726926e+20,3.99412481431e+13,9.24488781517e+23,1.1255496902e+25,5989915109.36,0.0155288633052,6.08984677346e+24,8.31174075293e+14,506.012011007,30294895.1588,9.13631681091e+13,35533934.9699,5.00226922175e+14,2.3407402147e+14,2.01063068052e+14,1220048730.99,226907.544355,8.11195409702e+14,3.52200808013e+20,3.55995908715e+14,151412312.648,2.62115338903e+19,1.20197861832e+19,5.84048271614e+19,8.71521560812e+14,4.81669501477e+17,2.4359451288e+25,2.36865527799e+12,1.12024885367e+17
9.4965,6.2192722191e+19,2.69101302135e+19,2.70137826964e+19,2.12823400947e+16,5.39758170603e+20,3.99411835953e+13,9.24491146444e+23,1.12554950986e+25,5989914179.0,0.0155288329833,6.08983488201e+24,9.00437702253e+14,590.349681792,37452520.7456,1.06590415019e+14,38495046.4048,5.83597602676e+14,2.73086344168e+14,2.34573388401e+14,1321718218.84,264764.917636,9.4639349512e+14,3.81550380492e+20,3.55995350604e+14,164029832.012,2.83958279594e+19,1.3021413306e+19,6.33119807814e+19,8.71520050414e+14,4.81668666726e+17,2.43594090716e+25,2.36865117297e+12,1.21360384709e+17
10.227,6.69767599821e+19,2.89801247474e+19,2.90901350899e+19,2.45556049262e+16,5.81277545014e+20,3.99411190477e+13,9.24493511365e+23,1.12554932951e+25,5989913250.89,0.0155288026616,6.08982299058e+24,9.69701193953e+14,681.175089885,45647304.0922,1.22989000666e+14,41456150.1587,6.73381302792e+14,3.1509958651e+14,2.70661381625e+14,1423387442.97,305537.388524,1.09199116799e+15,4.10899876839e+20,3.55994792494e+14,176647309.272,3.05801173997e+19,1.40230370864e+19,6.82191258984e+19,8.71518540019e+14,4.81667831967e+17,2.43593668553e+25,2.36864706796e+12,1.30695867872e+17
10.9575,7.17607952389e+19,3.10501170696e+19,3.11662546334e+19,2.80624727355e+16,6.22796850159e+20,3.99410545001e+13,9.2449587628e+23,1.12554914917e+25,5989912325.04,0.0155287723399,6.08981109917e+24,1.0389645504e+15,778.488244822,54948755.2814,1.40558926772e+14,44417246.2316,7.69578006826e+14,3.60113742674e+14,3.09327041427e+14,1525056403.37,349224.946397,1.24798839041e+15,4.40249297055e+20,3.55994234385e+14,189264744.428,3.27644022109e+19,1.50246575245e+19,7.31262625124e+19,8.71517029626e+14,4.81666997209e+17,2.43593246391e+25,2.36864296295e+12,1.40031334856e+17
11.688,7.6544827962e+19,3.31201071802e+19,3.32421413535e+19,3.1802916652e+16,6.64316086038e+20,3.99409899527e+13,9.24498241189e+23,1.12554896882e+25,5989911401.46,0.0155287420182,6.08979920779e+24,1.10822777159e+15,882.289156138,65426384.3786,1.59300195058e+14,47378334.6237,8.72187699081e+14,4.0812880684e+14,3.50570361512e+14,1626725100.05,395827.580633,1.41438512448e+15,4.69598641141e+20,3.55993676277e+14,201882137.48,3.49486823932e+19,1.60262746201e+19,7.80333906234e+19,8.71515519236e+14,4.81666162452e+17,2.4359282423e+25,2.36863885795e+12,1.49366785661e+17
12.4185,8.13288581521e+19,3.51900950791e+19,3.53177952773e+19,3.57769098083e+16,7.05835252652e+20,3.99409254055e+13,9.24500606093e+23,1.12554878848e+25,5989910480.13,0.0155287116966,6.08978731642e+24,1.17749085753e+15,992.577833369,77149701.4321,1.79212807245e+14,50339415.3348,9.8121036386e+14,4.59144773187e+14,3.94391335583e+14,1728393533.01,445345.280609,1.59118133232e+15,4.98947909096e+20,3.55993118169e+14,214499488.428,3.71329579465e+19,1.70278883734e+19,8.29405102315e+19,8.71514008848e+14,4.81665327696e+17,2.43592402069e+25,2.36863475296e+12,1.58702220287e+17
