Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
Masses,1.007825032,2.014101778,3.0160492779,3.01602932,4.002603254,6.151228874,6.015122887,7.0160034366,8.022486246,8.005305102,9.012183065,10.013534695,11.02166108,10.01293695,11.00930536,12.0269221,12.0,13.003354835,14.003241988,15.01059926,13.00573861,14.003074004,15.000108898,16.0061019,17.008449,15.994914619,16.999131756,17.999159612,19.003578,17.9991596129,18.998403162,19.999981252,19.992440176
0,0.0,0.0,0.0,0.0,0.0,0.0,9.24460401958e+23,1.12555185435e+25,0.0,0.0,6.08998947272e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43599578909e+25,0.0,0.0
73.05,4.78394713178e+20,2.06991491349e+20,2.0679971352e+20,1.16555789789e+18,4.15168804864e+21,3.99355683943e+13,9.24696872045e+23,1.12553381933e+25,5989841776.07,0.0155261952044,6.08880041162e+24,6.92586257888e+15,32439.3930026,11904996209.2,5.85685818222e+15,296082720.892,3.20635701628e+16,1.50040145114e+16,1.28877516166e+16,10165967251.1,14570470.8923,5.19942575087e+16,2.93467554591e+21,3.55946798359e+14,1261594943.88,2.18411922077e+20,1.00150345179e+20,4.90202217307e+20,8.71388655443e+14,4.81596047942e+17,2.43557365182e+25,2.36829406259e+12,9.33487695606e+17
146.1,9.5676460637e+20,4.13960885533e+20,4.11293612513e+20,4.64443927616e+18,8.30268354269e+21,3.99291153053e+13,9.24933282038e+23,1.12551578419e+25,5989779711.95,0.0155231638351,6.08761158434e+24,1.38503760126e+16,129764.3342,93959102460.8,2.3428579723e+16,592088647.087,1.28243817684e+17,6.00122103775e+16,5.15468093767e+16,20329303410.3,58282773.7727,2.07951769982e+17,5.86858991422e+21,3.55891000007e+14,2522770140.71,4.3677791735e+20,2.00267273657e+20,9.80801096742e+20,8.712376515e+14,4.81512591587e+17,2.43515158847e+25,2.36788365819e+12,1.8668159944e+18
219.15,1.43511028944e+21,6.20908205421e+20,6.13508132761e+20,1.04101852534e+19,1.24529866064e+22,3.99226634479e+13,9.25169631656e+23,1.12549774861e+25,5989740259.43,0.0155201330596,6.08642298918e+24,2.07735443233e+16,291984.34551,315669704805.0,5.27168837718e+16,888017792.725,2.88525049485e+17,1.35018768048e+17,1.15970878532e+17,30490003316.2,131126290.255,4.67834654466e+17,8.80174325865e+21,3.55835210967e+14,3783524492.04,6.55097637827e+20,3.00350793803e+20,1.47131497352e+21,8.71086673725e+14,4.81429149692e+17,2.43472959825e+25,2.3674733249e+12,2.7999825557e+18
292.2,1.91343236531e+21,8.2783347366e+20,8.13469406957e+20,1.84366402629e+19,1.66025973639e+22,3.99162128217e+13,9.25405920913e+23,1.12547971261e+25,5989723421.82,0.0155171028777,6.08523462609e+24,2.76953715349e+16,519108.938945,746542460525.0,9.37234876899e+16,1183870173.31,5.12891575507e+17,2.4001786885e+17,2.06153665518e+17,40648067501.1,233090404.069,8.31605037504e+17,1.17341357329e+22,3.55779431237e+14,5043858103.24,8.73371091518e+20,4.00400913983e+20,1.96174386236e+21,8.70935722113e+14,4.81345722265e+17,2.43430768116e+25,2.36706306273e+12,3.73298740755e+18
365.25,2.39173143005e+21,1.03473671268e+21,1.01120326817e+21,2.86979485763e+19,2.07515159393e+22,3.99097634265e+13,9.25642149821e+23,1.12546167618e+25,5989729202.44,0.0155140732893,6.08404649502e+24,3.46158616731e+16,811147.616616,1.45608128783e+12,1.46450107051e+17,1479645804.35,8.01327708705e+17,3.75003694989e+17,3.22088877948e+17,50803496497.4,364164501.608,1.29922505513e+18,1.46657674906e+22,3.55723660815e+14,6303771079.7,1.09159828643e+21,5.00417642562e+20,2.452087778e+21,8.70784796661e+14,4.812623093e+17,2.43388583718e+25,2.36665287165e+12,4.66583057796e+18
438.3,2.87000807295e+21,1.24161794469e+21,1.20673525329e+21,4.11685508675e+19,2.4899742457e+22,3.99033152621e+13,9.25878318394e+23,1.12544363933e+25,5989757604.6,0.0155110442944,6.08285859594e+24,4.1535018765e+16,1168109.87074,2.51378835557e+12,2.10898455641e+17,1775344701.33,1.15381776505e+18,5.39970429548e+17,4.63770224619e+17,60956290837.0,524337971.926,1.87065685289e+18,1.75966386853e+22,3.55667899701e+14,7563263526.75,1.30977923058e+21,6.00400987903e+20,2.94234673516e+21,8.70633897362e+14,4.81178910793e+17,2.4334640663e+25,2.36624275165e+12,5.59851209496e+18
511.35,3.34826287658e+21,1.44847719169e+21,1.4000906064e+21,5.58231808152e+19,2.90472770409e+22,3.98968683283e+13,9.26114426643e+23,1.12542560204e+25,5989808631.6,0.0155080158927,6.08167092879e+24,4.84528468395e+16,1590005.18362,3.98916407291e+12,2.8707024546e+17,2070966879.76,1.57034606353e+18,7.34912256487e+17,6.31191415511e+17,71106451052.3,713600206.736,2.5458625858e+18,2.05267494707e+22,3.55612147893e+14,8822335549.72,1.52791393197e+21,7.00350958366e+20,3.43252074855e+21,8.70483024213e+14,4.8109552674e+17,2.43304236852e+25,2.36583270272e+12,6.53103198654e+18
584.4,3.8264964169e+21,1.65531447546e+21,1.59129428217e+21,7.2636861745e+19,3.31941198151e+22,3.98904226247e+13,9.26350474582e+23,1.12540756433e+25,5989882286.75,0.0155049880842,6.08048349353e+24,5.53693499272e+16,2076843.0277,5.95170707904e+12,3.74967186724e+17,2366512355.14,2.05089692614e+18,9.59823360645e+17,8.2434616178e+17,81253977675.0,931940600.413,3.32480441837e+18,2.34561000004e+22,3.55556405388e+14,10080987253.9,1.74600239859e+21,8.0026756231e+20,3.9226098329e+21,8.70332177208e+14,4.81012157139e+17,2.43262074381e+25,2.36542272485e+12,7.46339028074e+18
657.45,4.30470926331e+21,1.8621298176e+21,1.78037094913e+21,9.15849033087e+19,3.73402709038e+22,3.98839781513e+13,9.26586462222e+23,1.12538952619e+25,5989978573.34,0.0155019608688,6.07929629011e+24,6.22845320601e+16,2628632.86551,8.47091423294e+12,4.74590987859e+17,2661981142.94,2.5954546779e+18,1.21469792773e+18,1.04322817577e+18,91398871237.1,1179348549.99,4.20744452461e+18,2.63846904279e+22,3.55500672186e+14,11339218744.6,1.96404463847e+21,9.00150808093e+20,4.41261400292e+21,8.70181356344e+14,4.80928801985e+17,2.43219919216e+25,2.36501281803e+12,8.39558700553e+18
730.5,4.78290197875e+21,2.06892323946e+21,1.967344993e+21,1.12642898203e+20,4.1485730431e+22,3.98775349077e+13,9.26822389578e+23,1.12537148762e+25,5990097494.67,0.0154989342464,6.0781093185e+24,6.91983972723e+16,3245384.14972,1.1616280603e+13,5.85943355513e+17,2957373258.66,3.20400364683e+18,1.49953014435e+18,1.28783117099e+18,101541132270.0,1455813455.16,5.19374508801e+18,2.93125209066e+22,3.55444948285e+14,12597030127.0,2.18204065959e+21,1.00000070407e+21,4.90253327332e+21,8.70030561616e+14,4.80845461277e+17,2.43177771357e+25,2.36460298224e+12,9.32762218894e+18
